"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1094","test_hotel_list","test","Mon Mar 16 17:14:30 UTC 2026","passed","Mon Mar 16 17:14:31 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","1568","Hootel Login","test","Mon Mar 16 17:14:26 UTC 2026","passed","Mon Mar 16 17:14:28 UTC 2026","TestHootel","test_hootel","",""
